fips,jurisdiction,Total Cases,Total Death,Death_100k,CasesInLast7Days,RatePer100000
2,Alaska,1949,18,2.4,410,264.3
1,Alabama,68950,1292,26.4,13360,1410.6
5,Arkansas,33927,363,12,4988,1125.7
60,American Samoa,0,0,,0,0
4,Arizona,145183,2784,38.8,21359,2024.4
6,California,391538,7694,19.5,62376,989.8
8,Colorado,40566,1758,30.9,3324,712.2
9,Connecticut,48055,4406,123.3,545,1345.1
11,District of Columbia,11339,579,82.4,433,1614.2
10,Delaware,13746,525,54.3,777,1421.3
12,Florida,355899,5072,23.8,77232,1670.9
64,Federated States of Micronesia,0,0,,0,0
13,Georgia,145575,3176,30.2,25006,1383.9
66,Guam,329,5,3,17,198.5
15,Hawaii,1287,24,1.7,149,90.6
19,Iowa,39224,797,25.3,3695,1242.8
16,Idaho,15266,122,7,3864,870.3
17,Illinois,163923,7494,58.8,7992,1286.6
18,Indiana,57206,2825,42.2,5169,854.9
20,Kansas,23334,307,10.5,3276,801.4
21,Kentucky,23414,671,15,3761,524
22,Louisiana,94892,3572,76.7,15065,2036.3
25,Massachusetts,113789,8433,122.2,1962,1648.6
24,Maryland,79545,3402,56.3,5285,1316.4
23,Maine,3711,118,8.8,145,277.3
26,Michigan,82395,6373,63.8,5197,825
27,Minnesota,47457,1588,28.3,4287,845.8
29,Missouri,33624,1132,18.5,5734,548.8
69,Northern Mariana Islands,38,2,3.5,5,0
28,Mississippi,45524,1389,46.5,7982,1524.3
30,Montana,2621,39,3.7,778,246.7
37,North Carolina,101046,1642,15.8,13518,973.1
38,North Dakota,5207,94,12.4,765,685.1
31,Nebraska,22847,313,16.2,1448,1184.2
33,New Hampshire,6249,398,29.3,181,460.7
34,New Jersey,176963,15715,176.4,1441,1986.4
35,New Mexico,17215,578,27.6,1924,821.6
32,Nevada,36925,674,22.2,8181,1216.9
36,New York,185623,8792,78.9,2661,1665.8
57,New York City,223107,23411,278.7,2018,2656.4
39,Ohio,76168,3189,27.3,9315,651.6
40,Oklahoma,25581,451,11.4,5180,648.8
41,Oregon,14847,262,6.3,2409,354.3
42,Pennsylvania,102765,7038,55,6094,802.4
72,Puerto Rico,12940,180,5.6,2817,405
70,Palau,0,0,,0,0
44,Rhode Island,17904,995,94.1,417,1693.3
68,Republic of Marshall Islands,0,0,,0,0
45,South Carolina,71445,1164,22.9,13277,1405.3
46,South Dakota,7943,118,13.4,419,900.3
47,Tennessee,79754,847,12.5,14480,1178
48,Texas,332434,4020,14,68121,1158.2
49,Utah,35084,249,7.9,4362,1109.9
51,Virginia,79371,2048,24,6928,931.8
78,Virgin Islands,308,6,5.7,102,294.2
50,Vermont,1360,56,8.9,59,217.1
53,Washington,47743,1453,19.3,5986,633.6
55,Wisconsin,46675,853,14.7,6293,802.9
54,West Virginia,5142,100,5.5,829,284.7
56,Wyoming,2187,24,4.2,284,378.5
0,United States of America,3819139,140630,2046.11,0,1165.2
